,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,cat
0,8816983,566,NIG23525,23525,03 February 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Kaduna,Kaura,,Kagoro,9.6078,8.3904,1,Vanguard (Nigeria); Nigeria Punch,National,"On 3 February 2022, suspected armed Fulani pastoralist attacked passers-by and killed six persons in Kagoro (Kaura, Kaduna). The assailants invaded the area on motorcycles; five bodies were discovered on Friday. Fatalities coded as 11",11,1644252032,NGA,perpetrator
1,8816977,566,NIG23512,23512,31 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria),7,47,Western Africa,Nigeria,Benue,Agatu,,Akwu,7.8669,8.0611,1,Blueprint; Daily Leadership (Nigeria),National,"On 31 January 2022, armed Fulani pastoralists killed a farmer at his farm in Akwu (Agatu, Benue). The victim was the brother of the Benue state Commissioner for Information and Culture.",1,1644252031,NGA,perpetrator
2,8817172,566,NIG23508,23508,30 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Kaduna,Kaura,,Kagoro,9.6078,8.3904,2,Sahara Reporters,Regional,"On 30 January 2022, suspected armed Fulani pastoralists attacked civilians in some communities near Kagoro (Kaura, Kaduna). No fewer than 11 persons were killed, an unspecified number of persons were wounded, about 50 houses were burnt by the assailants. Fatalities split into two events.",6,1644252032,NGA,perpetrator
3,8817175,566,NIG23507,23507,30 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Kaduna,Kaura,,Kagoro,9.6078,8.3904,1,Sahara Reporters,Regional,"On 30 January 2022, suspected armed Fulani pastoralists attacked civilians in Kagoro (Kaura, Kaduna) and nearby areas (coded separately). No fewer than 11 persons were killed, an unspecified number of persons were wounded, about 50 houses were burnt by the assailants. Fatalities split into two events.",5,1644252032,NGA,perpetrator
4,8816972,566,NIG23503,23503,29 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Farmers (Nigeria); Women (Nigeria),7,47,Western Africa,Nigeria,Ondo,Ilaje,,Igbokoda,6.3497,4.8033,1,Osun Defender; Daily Post (Nigeria),National,"On 29 January 2022, suspected armed Fulani militants attacked and killed a woman at her farm in Igbokoda (Ilaje, Osun). The reason for the attack is unknown.",1,1644252031,NGA,perpetrator
5,8801367,566,NIG23411,23411,25 January 2022,2022,2,Violence against civilians,Attack,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Kaduna,Zangon Kataf,,Zangon Katab,9.8333,8.4,2,Daily Trust (Nigeria),National,"Around 25 January 2022 (as reported), armed farmers attacked and killed a Fulani man in Atyap (Zangon Kataf, Kaduna), coded as Zangon Katab. The victim was in company with his brother, trying to fuel his motorcycle. The event happens within the context of clashes between farmers and pastoralists in the area.",1,1643646041,NGA,victim
6,8801288,566,NIG23408,23408,24 January 2022,2022,1,Violence against civilians,Attack,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Kaduna,Kauru,,Kauru,10.576,8.1509,2,Nigeria Punch; Daily Trust (Nigeria); New Telegraph,National,"On 24 January 2022, armed individuals attacked civilians at the Bakin Kogi market in Kauru LGA (Kaduna); a Fulani Pastoralist was killed and two residents were wounded. The event happens within the context of clashes between farmers and pastoralists in the area. Eight cows were poisoned and killed by unidentified persons in Fadama of the same LGA.",1,1643646041,NGA,victim
7,8801285,566,NIG23404,23404,23 January 2022,2022,2,Violence against civilians,Attack,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),4,Civilians (Nigeria),Fulani Ethnic Group (Nigeria); Pastoralists (Nigeria),7,47,Western Africa,Nigeria,Kaduna,Zangon Kataf,,Zaman Dabo,9.8383,8.4691,2,Nigeria Punch; Daily Independent (Nigeria); Daily Trust (Nigeria),National,"Around 23 January 2022, armed persons attacked and killed a Fulani pastoralist following an argument about a grazing area in Zaman Dabo, a boundary between Zangon Kataf and Kauru LGAs (Kaduna). The victim was beheaded, the assailants took the man's head while other pastoralists fled. The incident started a series of other events in the area within the context of clashes between farmers and pastoralists.",1,1643646041,NGA,victim
8,8801286,566,NIG23405,23405,23 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Labour Group (Nigeria),7,47,Western Africa,Nigeria,Ondo,Ose,,Okeluse,6.7816,5.5892,1,EONS Intelligence; Sahara Reporters; Nigeria Punch,National-Regional,"On 23 January 2022, suspected armed Fulani pastoralists attacked and killed two civilians in Okeluse (Ose, Ondo). The victims were a petrol station owner and his staff; residents of the community fled the area and took refuge in the bush.",2,1643646041,NGA,perpetrator
9,8801281,566,NIG23399,23399,22 January 2022,2022,1,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),4,Civilians (Nigeria),Miners (Nigeria),7,47,Western Africa,Nigeria,Plateau,Jos North,,Jos,9.9285,8.8921,2,Daily Trust (Nigeria); Daily Post (Nigeria); Nigeria Punch; Sun (Nigeria),National,"On 22 January 2022, armed individuals suspected to be Fulani attacked and killed four miners at a mining site in Dong village (Jos North, Plateau), coded as Jos. An unspecified number of miners fled the attack into the bush, other reports claim two miners were wounded.",4,1643646041,NGA,perpetrator
